airport,dep_time_blk,recommended_buffer_min,mean_alpha,pct_alpha_below_02,event_count,data_source
ABE,0001-0559,13.7,6.56,0.52,25,cell
ABE,0600-0659,14.8,9.83974187900154,0.573,379,cell
ABE,0700-0759,16.1,18.20496240601504,0.532,77,cell
ABE,0800-0859,12.2,9.303649763116336,0.659,164,cell
ABE,0900-0959,11.8,8.201324675324676,0.61,105,cell
ABE,1000-1059,12.1,5.086220299523318,0.583,48,cell
ABE,1100-1159,16.0,12.478007705275092,0.303,76,cell
ABE,1200-1259,18.6,11.519651020570171,0.251,175,cell
ABE,1300-1359,17.1,7.205230443103896,0.356,194,cell
ABE,1400-1459,19.2,11.453408111076103,0.297,158,cell
ABE,1500-1559,18.6,11.74265998989603,0.344,221,cell
ABE,1600-1659,15.2,8.16207011270531,0.375,72,cell
ABE,1700-1759,10.8,8.10891447571874,0.58,150,cell
ABE,1800-1859,7.2,2.0995039682539685,0.625,56,cell
ABE,1900-1959,10.4,6.787773542068186,0.587,63,cell
ABE,2000-2059,6.0,4.651894918364679,0.667,87,cell
ABE,2100-2159,8.3,1.6507437016153883,0.667,48,cell
ABE,2200-2259,15.2,9.297556637971159,0.479,6,airport_fallback
ABI,0001-0559,5.8,3.906360039071336,0.692,234,cell
ABI,0600-0659,16.0,7.504901960784314,0.5,102,cell
ABI,0700-0759,8.9,2.2516460905349795,0.689,45,cell
ABI,0800-0859,0.0,0.25,0.929,28,cell
ABI,0900-0959,1.8,2.411764705882353,0.824,34,cell
ABI,1000-1059,10.7,3.980871264383882,0.49,292,cell
ABI,1300-1359,12.6,5.203739589735886,0.359,223,cell
ABI,1400-1459,19.0,8.28897561354458,0.241,58,cell
ABI,1600-1659,10.0,4.129781770444162,0.561,4,airport_fallback
ABI,1800-1859,5.6,2.643721215545196,0.667,249,cell
ABI,1900-1959,0.1,0.3333333333333333,0.875,24,cell
ABQ,0001-0559,12.3,5.676071040904109,0.572,1518,cell
ABQ,0600-0659,14.4,5.813903050328904,0.529,1933,cell
ABQ,0700-0759,13.2,5.756651912764503,0.569,1611,cell
ABQ,0800-0859,9.8,4.087021006830334,0.643,888,cell
ABQ,0900-0959,17.8,14.603297105631583,0.31,242,cell
ABQ,1000-1059,16.6,10.197334880464307,0.301,562,cell
ABQ,1100-1159,17.8,8.559380628399532,0.32,776,cell
ABQ,1200-1259,21.0,12.719661397516552,0.277,1303,cell
ABQ,1300-1359,18.6,9.953083206796101,0.307,1072,cell
ABQ,1400-1459,17.8,12.172428640423625,0.232,517,cell
ABQ,1500-1559,19.6,10.732689392038624,0.295,949,cell
ABQ,1600-1659,19.3,10.573119930162878,0.323,564,cell
ABQ,1700-1759,17.3,10.42504930750481,0.318,628,cell
ABQ,1800-1859,15.0,7.284316116597033,0.46,1119,cell
ABQ,1900-1959,11.7,6.693373289742675,0.518,533,cell
ABQ,2000-2059,7.0,2.723879482407696,0.65,206,cell
ABQ,2100-2159,2.2,2.489486538997065,0.77,100,cell
ABR,0600-0659,23.8,11.675877227176501,0.226,287,cell
ABR,1000-1059,15.8,7.666666666666667,0.2,15,cell
ABR,1400-1459,16.4,8.86582878428949,0.428,292,cell
ABY,0600-0659,15.7,6.173141217564869,0.485,167,cell
ABY,0700-0759,18.0,7.354947916666667,0.388,80,cell
ABY,1200-1259,9.8,6.214284471351078,0.522,253,cell
ABY,1300-1359,8.0,5.90625,0.406,32,cell
ABY,1700-1759,11.6,4.944210470778206,0.536,166,cell
ABY,1800-1859,9.0,9.32412358882947,0.647,51,cell
ACK,1000-1059,18.4,8.296143250688706,0.256,121,cell
ACK,1100-1159,12.4,5.031251989216615,0.463,123,cell
ACK,1200-1259,23.7,15.440155703478803,0.238,277,cell
ACK,1300-1359,18.1,8.273011575802839,0.295,78,cell
ACK,1400-1459,16.2,6.707204756858589,0.396,149,cell
ACK,1500-1559,41.2,22.059169900291543,0.219,196,cell
ACK,1600-1659,23.2,13.401598157652002,0.341,252,cell
ACK,1700-1759,28.4,14.229886015670878,0.317,186,cell
ACK,1800-1859,14.4,6.938489819286602,0.578,109,cell
ACT,0001-0559,12.7,9.675003208514257,0.554,242,cell
ACT,0600-0659,10.6,4.114312706660368,0.414,29,cell
ACT,1000-1059,12.2,8.721813657754211,0.428,283,cell
ACT,1500-1559,11.0,7.488642510746553,0.53,1,airport_fallback
ACT,1800-1859,7.4,4.690543653505048,0.626,281,cell
ACT,2000-2059,11.0,7.488642510746553,0.53,1,airport_fallback
ACV,0001-0559,1.7,2.1352549889135255,0.805,82,cell
ACV,0600-0659,19.6,7.591666666666667,0.367,120,cell
ACV,0700-0759,14.7,5.375,0.375,40,cell
ACV,0800-0859,5.9,3.8322616002922913,0.714,35,cell
ACV,1200-1259,15.2,6.1865950266588206,0.474,270,cell
ACV,1400-1459,148.4,59.110524100655674,0.2,30,cell
ACV,1500-1559,10.1,9.441570881226053,0.58,174,cell
ACV,1600-1659,17.2,8.66027882325735,0.406,355,cell
